Sr.No.,Name,Type,WaterRequirements,MinTemp,MaxTemp,CommonPlantDiseases,SoilType,Fertilisers,AreaRequired,Info,Images,Icons
49,Garlic,Vegetable,10 to 20 per week,20,25,Downy Mildew,"Sandy soil, Loamy soil, Clay soil",High quality organic fertilizer,1 sq ft,"This bulb-shaped veggie is part of the onion family, which also includes chives, leeks, and scallions. Unlike its kin, a garlic bulb is made up of many smaller pieces called cloves. So-called wild garlic is similar, but not the same plant",https://drive.google.com/file/d/1QtyIjrMNDlynz-XlVj0Dm1YlmMA552u_/view?usp=sharing,https://drive.google.com/file/d/1nmAKfLgsfPcRciJopUaomNx0ogpR50ZD/view?usp=sharing
50,Fenugreek Leaf,Vegetable,40 to 50 per week,32,38,Cercospora Leaf Spot,Silty soil,Ammoniun nitrate,0.75 sq ft,"Fenugreek (Methi) is an annual herb mainly cultivated for seed as well as for its leaves (fresh or dried). The seeds are used as a spices and condiments to improve the flavor and the nutritive value of foods. Seed have strong odor and slight bitterness in taste. Seeds are used as seasoning agent for pickles and vegetable. Fenugreek is an important seed spice, native of South Eastern Europe and South Western Asia. India is also said to be one of the natives of fenugreek",https://drive.google.com/file/d/1__1EwlEc7sjQ13c1Af_uy8IgpmYerhn8/view?usp=sharing,https://drive.google.com/file/d/1uFr3Nsr1yy2mpzYk1pEG3orex91Hz-Ct/view?usp=sharing
51,Ginger,Vegetable,10 to 14 per week,16,32,Soft Rot,Loamy soil,Nitrogen,0.5 sq ft,"Ginger is a flowering plant whose rhizome, ginger root or ginger, is widely used as a spice and a folk medicine. It is a herbaceous perennial which grows annual pseudostems about one meter tall bearing narrow leaf blades",https://drive.google.com/file/d/14k3y2-KIriAAUmRbQJq6hhxDHs6HbsJ2/view?usp=sharing,https://drive.google.com/file/d/1IGptt_nUNW6u5vwtiqixmXI7wi4cgiB9/view?usp=sharing
52,Green Beans,Vegetable,50 per week,12,18,Cutworms,"Sandy soil, Clay soil",2 to 3 pounds of(10-20-10) fertilizers,16 sq ft,"Green beans are the unripe, young fruit of various cultivars of the common bean. Immature or young pods of the runner bean, yardlong bean, and hyacinth bean are used in a similar way. Green beans are known by many common names, including French beans, string beans, snap beans, snaps, and the French name haricot vert",https://drive.google.com/file/d/1Rt84Es4bl7MpiE0QLspt6IpjEcH5p-DK/view?usp=sharing,https://drive.google.com/file/d/1f7OvQz-0S7LaAhilTPOgNvllX0zNVuM0/view?usp=sharing
53,Radish,Vegetable,30 to 35 per week,17,20,Alternaria Blight,Sandy soil,5:5:5 N:P:K fertiliser,1 sq ft,"The radish is an edible root vegetable of the family Brassicaceae that was domesticated in Asia prior to Roman times. Radishes are grown and consumed throughout the world, being mostly eaten raw as a crunchy salad vegetable with a pungent flavor",https://drive.google.com/file/d/1ZcybYlJIQjF0OsFHqLaFB7MlFFJiLhkM/view?usp=sharing,https://drive.google.com/file/d/1oKh8vthVpyaz_nXEfNjVynuoQP-UWsov/view?usp=sharing
54,Lady Finger,Vegetable,70 per week,22,28,Green Stinkbugs,Silty soil,Organic manure,2.5 sq ft,"Okra is consumed in different ways in varied cuisine. The cooking style differs from culture to culture. The pods have a mucilaginous feature that contains a soluble form of fiber. Sometimes adding an acidic ingredient like lemon juice, vinegar or tomatoes can help",https://drive.google.com/file/d/10ps0xeuhLSjot2-BuKHqoHtIAkiOlOa3/view?usp=sharing,https://drive.google.com/file/d/1rK9gJqP4dDOF7rhhQGPORijraWfkOs6F/view?usp=sharing
55,Mushroom,Vegetable,10 to 15 per week,12,22,Green Mold,Loamy soil,Nitrogen,2.5 sq ft,"A mushroom or toadstool is the fleshy, spore-bearing fruiting body of a fungus, typically produced above ground, on soil, or on its food source",https://drive.google.com/file/d/1H3dlnlZgD7LgbXB6vQ6UVWFp_c7HldOB/view?usp=sharing,https://drive.google.com/file/d/1GuEz0HszmH7mgj6Ovj_huBmlN0JLg19_/view?usp=sharing
56,Maize,Vegetable,30 per week,10,16,"Common Rust, Polysora Rust",Clay soil,Milogranite,3 sq ft,"Maize, also known as corn, is a cereal grain first domesticated by indigenous peoples in southern Mexico about 10,000 years ago. The leafy stalk of the plant produces pollen inflorescences and separate ovuliferous inflorescences called ears that yield kernels or seeds, which are fruits",https://drive.google.com/file/d/1RhWYTEeBtUm043ivspFPVssdQITczoNI/view?usp=sharing,https://drive.google.com/file/d/1b40b37bgc_YUhlAyPi9R9PCvIQ2n4DS7/view?usp=sharing
57,Natal Plum,Vegetable,12 per week,26,30,Cankers,"Sandy soil, Loamy soil, Clay soil",Nitrogen,49 sq ft,"Natal plums are darker and possess a distinct point at their tip. Natal plum's leaves are also rounder and less pointed than a karonda's. As its name suggests, Natal plum is native to Natal, South Africa",https://drive.google.com/file/d/1AxLJqoo_UsGZ_hSJG3REElgt_9pgnO6o/view?usp=sharing,https://drive.google.com/file/d/17WS3YzQFXeE4-4D1eT--orDKzwjn9xox/view?usp=sharing
58,Mustard Greens,Vegetable,25 to 30 per week,21,24,Alternaria Leaf Spot,Loamy soil,Organic manure,5 sq ft,"Brassica juncea, commonly brown mustard, Chinese mustard, Indian mustard, leaf mustard, Oriental mustard and vegetable mustard, is a species of mustard plant",https://drive.google.com/file/d/16tpCsONKRjNH1IEwQyICttXnvVj18p15/view?usp=sharing,https://drive.google.com/file/d/18YlxRWKk-H5SRV_WyqJS19YxdB0axz69/view?usp=sharing
59,Pointed Gourd,Vegetable,10 to 20 per week,20,25,Red Beetles,Silty soil,Ammonium sulfate or ammonium nitrate,15 sq ft,"Trichosanthes dioica, also known as pointed gourd, is a vine plant in the family Cucurbitaceae, similar to cucumber and squash, though unlike those it is perennial. It is a dioecious vine plant with heart-shaped leaves and is grown on a trellis. The fruits are green with white or no stripes",https://drive.google.com/file/d/1m1EuN6k3gfQlM9IHTRvhQqroPd5pIJZn/view?usp=sharing,https://drive.google.com/file/d/1byRvvkvfV6DrzkbSfaK_mBeQlNZOpC2Q/view?usp=sharing
60,Peppermint,Vegetable,20 per week,26,32,Verticilium Wilt,Loamy soil,Phosporous and potassium heavy fertilizer,4 sq ft,"Peppermint is a hybrid mint, a cross between watermint and spearmint. Indigenous to Europe and the Middle East, the plant is now widely spread and cultivated in many regions of the world. It is occasionally found in the wild with its parent species",https://drive.google.com/file/d/1NocV58GiNYP-FF_AtJZavq2JPR_7jLrw/view?usp=sharing,https://drive.google.com/file/d/1Q0wN-ff0uw-qQJx5MkYo6vtiuQ9pq-12/view?usp=sharing
61,Ridged Gourd,Vegetable,50 to 60 per week,20,26,Downy Mildew,Sandy soil,Nitrogen,64 sq ft,"Luffa is a genus of tropical and subtropical vines in the cucumber family. In everyday non-technical usage, the luffa, also spelled loofah, usually refers to the fruits of the species Luffa aegyptiaca and Luffa acutangular",https://drive.google.com/file/d/1jALtfNoWwVrjO7g8-5qJFytJ3NN1DNaz/view?usp=sharing,https://drive.google.com/file/d/15gIEqbBUwesDGeiv4OCuAQ1bJIbRhOqm/view?usp=sharing
62,Red Chilli,Vegetable,20 to 30 per week,18,24,Wilt and Root Rot Diseases,Clay soil,Ammoniun nitrate,9 sq ft,"The chili pepper, from Nahuatl chīlli, is the berry-fruit of plants from the genus Capsicum which are members of the nightshade family, Solanaceae. Chili peppers are widely used in many cuisines as a spice to add pungent 'heat' to dishes",https://drive.google.com/file/d/1XFRCwT8BnoyfatkIi2h0B5-oV1cOEGEZ/view?usp=sharing,https://drive.google.com/file/d/1fottdJu6RFKP1-oqqW4EWrQ-WxyjEH_g/view?usp=sharing
63,Peas,Vegetable,50 per week,24,26,Fusarium Wilt,Silty soil,Milogranite,0.5 sq ft,"The pea is most commonly the small spherical seed or the seed-pod of the pod fruit Pisum sativum. Each pod contains several peas, which can be green or yellow. Botanically, pea pods are fruit, since they contain seeds and develop from the ovary of a flower.",https://drive.google.com/file/d/1Fm1250oKvxOSnnPyD-4JEFu9hAOdyduK/view?usp=sharing,https://drive.google.com/file/d/1nCetrKhJcXUBTIAt6ykXa6aoSn4h903y/view?usp=sharing
64,Curry Leaf,Vegetable,25 per week,20,26,Leaf Spot,"Silty soil, Loamy soil",Iron sulphate,81 sq ft,"Curry leaves are small in size and long, slender, and oval in shape narrowing to a point, averaging 2-4 centimeters in length and 1-2 centimeters in width. The shiny, dark green leaves grow pinnately along a stem, and each branch can hold up to twenty, tightly clustered leaves. Curry leaves are extremely aromatic and have a strong flavor that has been compared to citrus, asafoetida, anise, and lemongrass. When cooked, Curry leaves have a mild and slightly pungent bite with a nutty aroma.",https://drive.google.com/file/d/1ZE1lJkBFbEag_IXgYF_rOpCg0UwQENcb/view?usp=sharing,https://drive.google.com/file/d/1aWGRC8dazz87zD1JOlQT-Fjj_w-rYEv9/view?usp=sharing
65,Cucumber,Vegetable,35 to 45 per week,16,20,Powdery Mildew,Sandy soil,High quality organic fertilizer,8 sq ft,"Cucumber is a widely-cultivated creeping vine plant in the Cucurbitaceae family that bears usually cylindrical fruits, which are used as vegetables. Considered an annual plant, there are three main varieties of cucumber — slicing, pickling, and burpless/seedless — within which several cultivars have been created.",https://drive.google.com/file/d/1AXWyFR6PcFQxipBtYN3Xr0BQHuCFLqYM/view?usp=sharing,https://drive.google.com/file/d/1wqoKGJLEMY0DLIlLASDjA0DaToSHRydE/view?usp=sharing
66,Corn,Vegetable,55 to 60 per week,10,16,Gray Leaf Spot,Silty soil,Organic manure,36 sq ft,"Corn, also known as maize, is a starchy vegetable that comes as kernels on a cob, covered by a husk. Corn is one of the most popular vegetables in the U.S. that sometimes gets a bad rap because it has a lot of natural sugar and carbs. ... Natives of North and South America grew corn, which they called maize",https://drive.google.com/file/d/1hUVkWJrd7tWtIBjP5o0nNVEyA1d5ul_K/view?usp=sharing,https://drive.google.com/file/d/1EEyIeRjY2ELRl9bz2z9MR49NDRZBNWiL/view?usp=sharing
67,Coriander Leaf,Vegetable,30 to 32 per week,30,32,Bacterial Leaf Spot,Clay soil,One spray of N:P:K(19:19:19) fertilizer,1 sq ft,"Coriander is an annual herb in the family Apiaceae. It is also known as Chinese parsley, dhania or cilantro. All parts of the plant are edible, but the fresh leaves and the dried seeds are the parts most traditionally used in cooking",https://drive.google.com/file/d/1grRQjdxrUWbGgUDXuaO7tT7OrCpu4-cI/view?usp=sharing,https://drive.google.com/file/d/1K3PnNioMKaC85w-mm2nnCgFjLLa4vrDT/view?usp=sharing
68,Cluster Beans,Vegetable,20 per week,18,20,Leaf Hopper,Loamy soil,20 kg N and 40 kg P2 O5,2.5 sq ft,"The guar bean or cluster bean , is an annual legume, is the source of guar gum. ... Young, fresh cluster beans have a narrow and long body with tiny pods. They are very popular vegetable. they are native to India and are widely grown, not only in Andhra but also in other parts of country (dry, warm and arid regions).",https://drive.google.com/file/d/1NV2TZO19362Gzg8-jI7WhiVVG6vMiHxG/view?usp=sharing,https://drive.google.com/file/d/1YQzVuq7D-QGfjmor4LTF6D9e4ulTaiiM/view?usp=sharing
69,Celery,Vegetable,10 to 15 per week,20,22,Soft Rot Bacteria,"Sandy soil, Loamy soil, Clay soil",Ammoniun nitrate,0.5 sq ft,"Celery is a marshland plant in the family Apiaceae that has been cultivated as a vegetable since antiquity. Celery has a long fibrous stalk tapering into leaves. Depending on location and cultivar, either its stalks, leaves or hypocotyl are eaten and used in cooking. Celery seed powder is used as a spice",https://drive.google.com/file/d/1LS7-jSiCV6OyNko9g-uTkjWHMPTtkVGA/view?usp=sharing,https://drive.google.com/file/d/1lkq_5YJTXcrdonjFQyfUknrDCvFD_xJM/view?usp=sharing
70,Cauliflower,Vegetable,30 to 35 per week,16,20,Black Rot,Sandy soil,Ammonium sulfate or ammonium nitrate,2.5 sq ft,"Cauliflower is one of several vegetables in the species Brassica oleracea in the genus Brassica, which is in the Brassicaceae family. It is an annual plant that reproduces by seed. Typically, only the head is eaten – the edible white flesh sometimes called ""curd",https://drive.google.com/file/d/1CwFACTy98g9plInw2pvclD6NPzhnEip6/view?usp=sharing,https://drive.google.com/file/d/14sAQhFIFzMnoJ3JdGI3HrGreCwFWKgjV/view?usp=sharing
71,Carrot,Vegetable,20 to 24 per week,20,32,Alternaria Leaf Blight,"Sandy soil, Loamy soil, Clay soil",Organic manure,1 sq ft,"The carrot is a root vegetable, typically orange in color, though purple, black, red, white, and yellow cultivars exist, all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia.",https://drive.google.com/file/d/1Os_HJdr4OWqqvP-Hzr9UspJOjHIlK5QW/view?usp=sharing,https://drive.google.com/file/d/1RVbg1oLLr8PuNP5UBfis_t3c87HXh8lM/view?usp=sharing
72,Cabbage,Vegetable,20 to 40 per week,30,32,Alternaria Leaf Spot,Silty soil,Diluted solution of a balanced (10-10-10) liquid fertilizers ,2.5 sq ft,"Cabbage, comprising several cultivars of Brassica oleracea, is a leafy green, red, or white biennial plant grown as an annual vegetable crop for its dense-leaved heads",https://drive.google.com/file/d/1k8oJZWEfTWm5rt5q8LqM_P2KH9e4xxox/view?usp=sharing,https://drive.google.com/file/d/14b9vbVuQa67OkcuTfFFTopVuNQrfyQlm/view?usp=sharing
73,Capsicum,Vegetable,50 per week,26,30,Pepper Mottle Virus,Loamy soil,Potassium nitrate and calcium nitrate,2 sq ft,"Capsicum is a genus of flowering plants in the nightshade family Solanaceae, native to the Americas, cultivated worldwide for their chili pepper or bell pepper fruit.",https://drive.google.com/file/d/1XIq9-n8C0IrQzb5CaGYX-zzMeMhHYPE3/view?usp=sharing,https://drive.google.com/file/d/1J9MeAUZSqxS_xE9UkHosgtr-i3-P_XMX/view?usp=sharing
74,Brinjal,Vegetable,62 to 64 per week,12,24,Foot Rot,"Sandy soil, Loamy soil",Balanced fertilizers(10-10-10),4 sq ft,"Eggplant, aubergine or brinjal is a plant species in the nightshade family Solanaceae. Brinjal is grown worldwide for its edible fruit. Most commonly purple, the spongy, absorbent fruit is used in several cuisines. Typically used as a vegetable in cooking, it is a berry by botanical definition",https://drive.google.com/file/d/1WdQxtzbCVYQZCGitJJsDmmfic7jfiOxt/view?usp=sharing,https://drive.google.com/file/d/1ygHnGtS_R-hjVu35Le_BrMaLw6w4P0sd/view?usp=sharing
75,Bottle Gourd,Vegetable,80 per week,34,26,Downey Mildew,Loamy soil,Organic manure,9 sq ft,"Calabash, also known as bottle gourd, white-flowered gourd, long melon, birdhouse gourd, New Guinea bean and Tasmania bean, is a vine grown for its fruit. It can be either harvested young to be consumed as a vegetable, or harvested mature to be dried and used as a utensil, container, or a musical instrument",https://drive.google.com/file/d/1V6BW3vRHMoslrluoYjrvUrSi982GIDtL/view?usp=sharing,https://drive.google.com/file/d/1U1HruK26YkPaS_FdLGxIDXAeribAajGy/view?usp=sharing
76,Bitter Gourd,Vegetable,12 to 20 per week,22,24,Powdery Mildew,"Sandy soil, Loamy soil, Clay soil","50-100 kg N, 40-60 kg P2O5 and 30-60 kg 25 K2O",16 sq ft,"Bitter gourd is a green-skinned vegetable with white to translucent flesh and a taste that fits its name. Bitter gourd is also a vegetable of many names. It is equally known as bitter melon, bitter cucumber, balsam-pear, bitter apple, or bitter squash.",https://drive.google.com/file/d/1uSFsoXSkyH8S2EN1e9qhOhVNDlZAN0oc/view?usp=sharing,https://drive.google.com/file/d/1HL3dp1qW3HeZkJH26S9gwMc2j9HVmteD/view?usp=sharing
77,Beetroot,Vegetable,10 per week,20,30,Bacterial Leaf Spot,Silty soil,Trifecta+,1.5 sq ft,"The beetroot is the taproot portion of a beet plant, usually known in North America as beets while the vegetable is referred to as beetroot in British English, and also known as the table beet, garden beet, red beet, dinner beet or golden beet",https://drive.google.com/file/d/18C4N-Gv7T6tI7PUYIizdcww1uKQ1re9X/view?usp=sharing,https://drive.google.com/file/d/1RowLsgbp9vSY-iqaaBwLj1QrZSkxe0iA/view?usp=sharing
78,Broccoli,Vegetable,12 to 15 per week,25,26,Black Rot,Loamy soil,Nitrogen,4 sq ft,"Broccoli is an edible green plant in the cabbage family whose large flowering head, stalk and small associated leaves are eaten as a vegetable. Broccoli is classified in the Italica cultivar group of the species Brassica oleracea.",https://drive.google.com/file/d/1wLrHMqjmi8gufLZn6Bfh8k1s98uIuWRD/view?usp=sharing,https://drive.google.com/file/d/1nCetrKhJcXUBTIAt6ykXa6aoSn4h903y/view?usp=sharing
79,Curry Leaf,Vegetable,25 per week,20,26,Leaf Spots,"Silty soil, Loamy soil",Iron sulphate,81 sq ft,"Curry leaves are small in size and long, slender, and oval in shape narrowing to a point, averaging 2-4 centimeters in length and 1-2 centimeters in width. The shiny, dark green leaves grow pinnately along a stem, and each branch can hold up to twenty, tightly clustered leaves. Curry leaves are extremely aromatic and have a strong flavor that has been compared to citrus, asafoetida, anise, and lemongrass. When cooked, Curry leaves have a mild and slightly pungent bite with a nutty aroma.",https://drive.google.com/file/d/1ZE1lJkBFbEag_IXgYF_rOpCg0UwQENcb/view?usp=sharing,https://drive.google.com/file/d/1kaI0EcrjszjMRN-i-R8LI7A78_n5d8zL/view?usp=sharing
80,Daisy,Flower,12 per week,20,28,Brown Spot,"Sandy soil, Loamy soil, Clay soil",Low nitrogen fertilizer,2.5 sq ft,"A daisy is a flowering plant with a large, star-shaped head that has clusters of florets surrounding a center disc of yellow or black florets. The daisy family is also known as the aster family, or Asteraceae, referring to the star-shaped flower. There are 23,000 individual species in this family. The name “daisy” is based on the words “day’s eye”, probably because the head opens in the morning and closes each night.",https://drive.google.com/file/d/17UX_Ds53DgtrS85bnSuOFemowqieGENF/view?usp=sharing,https://drive.google.com/file/d/11swl6bACTgebs7gzGYKSWao47ts1D4GL/view?usp=sharing
81,Rose,Flower,1 to 1.2 per week,24,32,Botrytis Blight,Sandy soil,"Nitrogen, Phosphorus and potassium",2 sq ft,"Roses are erect, climbing, or trailing shrubs, the stems of which are usually copiously armed with prickles of various shapes and sizes, commonly called thorns. The leaves are alternate and pinnately compound (i.e., feather-formed), usually with oval leaflets that are sharply toothed",https://drive.google.com/file/d/1fG-4p0IICEVg5RlKuBJhfUN1xmnxO1Cy/view?usp=sharing,https://drive.google.com/file/d/1Fx1dwUNcldye6dJl1GExqn5GhL2vmMRv/view?usp=sharing
82,Iris,Flower,3.5 to 5 per week,21,32,Bacterial Leaf Blight,Loamy soil,Low nitrogen fertilizer,1 sq ft,"Iris is a genus of 260–300 species of flowering plants with showy flowers. It takes its name from the Greek word for a rainbow, which is also the name for the Greek goddess of the rainbow, Iris. Some authors state that the name refers to the wide variety of flower colors found among the many species.",https://drive.google.com/file/d/1hZrvDLd2_nFe67HOM282Pdy0t_39PPRC/view?usp=sharing,https://drive.google.com/file/d/1PUqe1skb4mydZNnDrQDFjEylwBGW2u4L/view?usp=sharing
83,Narcissus,Flower,2 to 8 per week,3,18,Basal Rot ,Silty soil,Low nitrogen fertilizer(3-6-6),3.5 sq ft,"Narcissus is a genus of predominantly spring flowering perennial plants of the amaryllis family, Amaryllidaceae. The exact origin of the name Narcissus is unknown, but it is often linked to a Greek word for intoxicated (narcotic) and the myth of the youth of that name who fell in love with his own reflection.",https://drive.google.com/file/d/1hXD2ZRttUIUYMiczfagwym0nU6K-vH2y/view?usp=sharing,https://drive.google.com/file/d/1NJj6yMC7R4bmp0kWPevb8NwFchhAgCbu/view?usp=sharing
84,Orchid,Flower,4 to 8 per week,18,23,Mealybugs,Clay soil,Balanced fertilizer(20-20-20),4 sq ft,"Orchids are a beautiful and distinctive type of flower that is also one of the most diverse. The popularity of the flower can be contributed to a number of factors. These factors include the fragrance of the flower, their beauty and their colour blooms.",https://drive.google.com/file/d/1xzMk5PoioPmweJY3MhT4Fyft69TLHvAV/view?usp=sharing,https://drive.google.com/file/d/18f0UKOB7I_lykWAEh7rUe76zKX5CeuyQ/view?usp=sharing
85,Tulip,Flower,5.5 to 7 per week,2,20,Botrytis Blight,"Sandy soil, Loamy soil, Clay soil",Low release fertilizers(10-15-10),1.5 sq ft,"Tulips (Tulipa) are a genus of spring-blooming perennial herbaceous bulbiferous geophytes (having bulbs as storage organs). The flowers are usually large, showy and brightly colored, generally red, pink, yellow, or white (usually in warm colors).",https://drive.google.com/file/d/1Vjg13pC-b7jcQmu_4pilZrqkJcr1G7n7/view?usp=sharing,https://drive.google.com/file/d/18l5bhjQRgYyo6uQytNWd9sKIcpZTHFrH/view?usp=sharing
86,Sunflower,Flower,6 to 10 per week,20,25,Leaf Spots,Sandy soil,Organic manure,3 sq ft,"The sunflower (Helianthus annuus) is a living annual plant in the family Asteraceae, with a large flower head (capitulum). The stem of the flower can grow up to 3 metres tall, with a flower head that can be 30 cm wide. ... The central florets look like the centre of a normal flower, apseudanthium.",https://drive.google.com/file/d/1IUJNV47mx45sYB-ZFqGqid0ZUyU0zI1l/view?usp=sharing,https://drive.google.com/file/d/1r8YfsjA2mui11EsyeHlLMSJ0ICtEN3zO/view?usp=sharing
87,Cyclamen,Flower,6 per week,4,10,Bacterial Soft Rot,Silty soil,Low nitrogen,9 sq ft,"Cyclamen is a genus of 23 species of perennial flowering plants in the family Primulaceae. Cyclamen species are native to Europe and the Mediterranean Basin east to the Caucasus and Iran, with one species in Somalia",https://drive.google.com/file/d/11cx4wdS9CAM3BwlTw2yB42x4bxd56aGV/view?usp=sharing,https://drive.google.com/file/d/1lLOcXB1dSkDVC4p-rsNA36GIWIlDBwP5/view?usp=sharing
88,Carnation,Flower,2 to 6 per week,18,24,Alternaria Leaf Spot,Loamy soil,"Phosphorus, magnesium sulphate",6 sq ft,"Dianthus caryophyllus, commonly known as the carnation or clove pink, is a species of Dianthus. It is probably native to the Mediterranean region but its exact range is unknown due to extensive cultivation for the last 2,000 years",https://drive.google.com/file/d/1PBGDwbfdR_Wf-JDt1Fs3HdO2RfXuQfPW/view?usp=sharing,https://drive.google.com/file/d/1poYeFyecSLtWHcPO1NQ2GxU06ZtF1uGs/view?usp=sharing
89,Pansy,Flower,1 to 5 per week,7,18,Anthracnose,"Sandy soil, Loamy soil",Granular fertilizers,4.5 sq ft,"The garden pansy is a type of large-flowered hybrid plant cultivated as a garden flower. It is derived by hybridization from several species in the section Melanium of the genus Viola, particularly Viola tricolor, a wildflower of Europe and western Asia known as heartsease.",https://drive.google.com/file/d/1xc7z_hyK6Z8Mazi48RIKu3VfBRKuAL6i/view?usp=sharing,https://drive.google.com/file/d/1xQz7UFqC4bq3Zc5WYLPZOvzUFtE9j5fk/view?usp=sharing
90,Violet,Flower,6 to 8 per week,15,26,Bacterial Blight,"Sandy soil, Loamy soil, Clay soil",High quality organic fertilizer,2 sq ft,"The violet is a genus of flowering plants. The common blue violet (Viola sororia) is the state flower of the U.S. state of Illinois. Some Viola species are perennial plants, some are annual plants, and a few are small shrubs. Many species, varieties and cultivars are grown in gardens for their flowers.",https://drive.google.com/file/d/1aspv9pcDr1v4kk1_9eaBiDnYw3RBo42X/view?usp=sharing,https://drive.google.com/file/d/1YVQooofE6d-Xzj1L1bQJL3MFtFTXTmjj/view?usp=sharing
91,Mimosa,Flower,1.5 to 3 per week,15,18,Fusarium Wilt,Silty soil,Half strenght liquid fertilizers,5 sq ft,"Mimosa, (genus Mimosa), large genus of plants in the pea family (Fabaceae), native to tropical and subtropical areas throughout both hemispheres. The well-known sensitive plant, or humble plant (Mimosa pudica), is commonly grown in greenhouses as a novelty for its rapid leaf movements in response to touch.",https://drive.google.com/file/d/1XUCU2luz2ExMq20sNQsGl-8ncD7n7dmS/view?usp=sharing,https://drive.google.com/file/d/1h6YH_BCl3_k3tLVZTh9NPMwatIf36r0L/view?usp=sharing
92,Daffodil,Flower,1 to 1.2 per week,15,20,Basal Rot ,Sandy soil,Granular slow-release 10-10-20 bulb fertilizer,2.5 sq ft,"Narcissus is a genus of predominantly spring flowering perennial plants of the amaryllis family, Amaryllidaceae. Various common names including daffodil, narcissus and jonquil are used to describe all or some members of the genus",https://drive.google.com/file/d/1hXD2ZRttUIUYMiczfagwym0nU6K-vH2y/view?usp=sharing,https://drive.google.com/file/d/15pxDVJA4ggqe6uZcVBUlQpoapJW0l0ql/view?usp=sharing
93,Lily,Flower,2 to 4 per week,18,32,Southern Blight,Loamy soil,(10-20-20)mix of slow release fertilizers,7 sq ft,"Lilium is a genus of herbaceous flowering plants growing from bulbs, all with large prominent flowers. They are the true lilies. Lilies are a group of flowering plants which are important in culture and literature in much of the world.",https://drive.google.com/file/d/1LUMbZhqRhIZ75FG0rE7WkpKPBxA_zRBI/view?usp=sharing,https://drive.google.com/file/d/1FBS0cnYVsXoewpAqskKT4huROj22G5Te/view?usp=sharing
94,Hyacinth,Flower,4 to 6 per week,3,9,Yellow Mosiac Virus,Clay soil,"Nitrogen, phosphorus",1 sq ft,"Hyacinthus is a small genus of bulbous, spring-blooming perennials. They are fragrant flowering plants in the family Asparagaceae, subfamily Scilloideae and are commonly called hyacinths",https://drive.google.com/file/d/1-2W14svQ4fSJZg8iMRcqLeSj7Yt6P40j/view?usp=sharing,https://drive.google.com/file/d/1FCL_eXoTgi53jQLX7x0zIfMJ_cf8DUhZ/view?usp=sharing
95,Bluebell,Flower,3 to 5 per week,16,31,Pests,Loamy soil,General fertilizers,6.5 sq ft,"Any of numerous plants of the bellflower family, having blue, bell-shaped flowers, as a bellflower or harebell. an Old World plant, Endymion non-scriptus, of the lily family, having blue, bell-shaped flowers. Any of various other plants having blue flowers, as those of the genus Mertensia.",https://drive.google.com/file/d/1SHiKKiyeH6jhv4Dy7x7crnnE7lPUJCaR/view?usp=sharing,https://drive.google.com/file/d/1BaHkstXOtYeDMBNL0j_1EGeMGfwaVl4s/view?usp=sharing
96,Bougainvillea,Flower,2.36  per week,15,21,Aphids,"Sandy soil, Loamy soil, Clay soil",Ammoniun nitrate,10 sq ft,"Bougainvillea is a genus of thorny ornamental vines, bushes, and trees belonging to the four o' clock family, Nyctaginaceae. It is native to eastern South America, found from Brazil, west to Peru, and south to southern Argentina. Different authors accept from 4 to 18 species in the genus",https://drive.google.com/file/d/176JXSvYPuzHNzw1iGdRcMh1vYJr0jf5M/view?usp=sharing,https://drive.google.com/file/d/1-gkChRW4FLycPwkowFFDFHiflZ4Yjis0/view?usp=sharing
97,Buttercup,Flower,4 per week,16,18,Squash Bugs,Sandy soil,Herbicide,3.5 sq ft,"Buttercups are a large genus of flowering plants called Ranunculus. It has yellow, shiny petals, and grows wild in many places. It is poisonous to eat for humans and cattle, but when dry the poison is not active",https://drive.google.com/file/d/1TxVS39irMiLjQhuOYNdJKhFNmeifnvqM/view?usp=sharing,https://drive.google.com/file/d/1dzJ56fHy1WfUVWSipkp8E5vOwZUgicgq/view?usp=sharing
98,Cactus Flower,Flower,1 to 2 per week,18,32,Fusarium Rot,Silty soil,10-10-10 fertilizer diluted to 1/4th strength,2 sq ft,"Cactus are xerophytes, specializing in hot, dry climates. Cactus lifespan is somewhere in the ranges from 10 to 200 years. Many cacti live in dry places, such as deserts. A cactus plant can be very small or very big.",https://drive.google.com/file/d/1BJNIMFB_B-LX2KuygxJsOqwJIuJuE5Sv/view?usp=sharing,https://drive.google.com/file/d/1r8YfsjA2mui11EsyeHlLMSJ0ICtEN3zO/view?usp=sharing
99,Camellia,Flower,2 to 4 per week,7,16,Petal Blight,"Sandy soil, Loamy soil",Slow release fertilizers(10-10-10),4 sq ft,"Camellia, genus of about 250 species of East Asian evergreen shrubs and trees belonging to the tea family (Theaceae), most notable for a few ornamental flowering species and for Camellia sinensis (sometimes called Thea sinensis), the source of tea. The common camellia",https://drive.google.com/file/d/18b4OkW_cdPuuZD177KHhFzwffKoiRKp2/view?usp=sharing,https://drive.google.com/file/d/1kJP1zgqhYkTOfbRM82aseOaPplwpmH6f/view?usp=sharing
